,agent_name,batch_size,lr,gamma,reward_mean,reward_std,training_time,solved_episode
0,1_DDQN_Agent,32,0.0005,0.99,66.80312048459196,170.72582829007604,26.16,99999
1,2_DDQN_Agent,32,0.0004,0.99,79.02362301455493,168.17570118337983,25.74,99999
2,3_DDQN_Agent,32,0.0003,0.99,-4.080469299348949,169.9023723340873,20.78,536
3,4_DDQN_Agent,64,0.0005,0.99,57.16709672698459,174.1750083855506,26.96,99999
4,5_DDQN_Agent,64,0.0004,0.99,64.19555563991797,170.5545554810412,26.72,99999
5,6_DDQN_Agent,64,0.0003,0.99,59.93326025089326,172.55096914283504,28.35,99999
6,7_DDQN_Agent,128,0.0005,0.99,65.99299187305174,176.33028638279134,26.94,99999
7,8_DDQN_Agent,128,0.0004,0.99,67.47759009797932,170.69447988764878,28.97,99999
8,9_DDQN_Agent,128,0.0003,0.99,74.4414994901687,165.6101996073341,31.09,99999
