,agent_name,batch_size,lr,gamma,reward_mean,reward_std,training_time,solved_episode
0,1_DDQN_Agent,32,0.0008,0.99,63.76188871858781,172.10260204486397,22.33,99999
1,2_DDQN_Agent,32,0.0005,0.99,65.49455589370476,168.18947907852478,21.29,853
2,3_DDQN_Agent,32,0.0003,0.99,-2.483078571324535,169.70320220535717,25.13,99999
3,4_DDQN_Agent,64,0.0008,0.99,63.15787059633799,173.0335865714216,23.68,99999
4,5_DDQN_Agent,64,0.0005,0.99,68.4371235252255,169.4966941128139,23.2,99999
5,6_DDQN_Agent,64,0.0003,0.99,64.06689093956453,170.82447268653863,24.19,99999
6,7_DDQN_Agent,128,0.0008,0.99,51.48339541459784,175.70809111749017,26.14,99999
7,8_DDQN_Agent,128,0.0005,0.99,59.53533721353864,169.18083500967288,26.38,99999
8,9_DDQN_Agent,128,0.0003,0.99,69.57172366962273,168.08132082333904,24.77,99999
